Item,Category,Effect,Cost,Image
Full Heal,Medicine,A spray-type medicine. It heals all the status problems of a single Pokémon.,600,https://cdn.bulbagarden.net/upload/0/07/Dream_Full_Heal_Sprite.png
Full Restore,Medicine,A medicine that fully restores the HP and heals any status problems of a single Pokémon.,3000,https://cdn.bulbagarden.net/upload/0/0c/Dream_Full_Restore_Sprite.png
Genius Wing,Medicine,Increases Special Attack EVs by 1.,3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/genius-wing.png
Heal Powder,Medicine,A very bitter medicine powder. It heals all the status problems of a single Pokémon.,450,https://cdn.bulbagarden.net/upload/a/a4/Dream_Heal_Powder_Sprite.png
Health Wing,Medicine,Increases HP EVs by 1.,3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/health-wing.png
HP Up,Medicine,A nutritious drink for Pokémon. It raises the base HP of a single Pokémon.,9800,https://cdn.bulbagarden.net/upload/c/ce/Dream_HP_Up_Sprite.png
Hyper Potion,Medicine,A spray-type medicine for wounds. It restores the HP of one Pokémon by 200 points.,1200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/hyper-potion.png
Ice Heal,Medicine,A spray-type medicine. It defrosts a Pokémon that has been frozen solid.,250,https://cdn.bulbagarden.net/upload/2/2a/Dream_Ice_Heal_Sprite.png
Iron,Medicine,A nutritious drink for Pokémon. It raises the base Defense stat of a single Pokémon.,9800,https://cdn.bulbagarden.net/upload/8/8b/Dream_Iron_Sprite.png
Lava Cookie,Medicine,LAVARIDGE TOWN's local specialty. It heals all the status problems of one Pokémon.,200,https://cdn.bulbagarden.net/upload/c/c8/Dream_Lava_Cookie_Sprite.png
Lemonade,Medicine,A very sweet drink. It restores the HP of one Pokémon by 80 points.,350,https://cdn.bulbagarden.net/upload/a/a7/Dream_Lemonade_Sprite.png
Max Elixir,Medicine,It fully restores the PP of all the moves learned by the targeted Pokémon.,4500,https://cdn.bulbagarden.net/upload/2/2d/Dream_Max_Elixir_Sprite.png
Max Ether,Medicine,It fully restores the PP of a single selected move that has been learned by the target Pokémon.,2000,https://cdn.bulbagarden.net/upload/b/b0/Dream_Max_Ether_Sprite.png
Max Potion,Medicine,A spray-type medicine for wounds. It completely restores the HP of a single Pokémon.,2500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/max-potion.png
Max Revive,Medicine,A medicine that revives a fainted Pokémon. It fully restores the Pokémon's HP.,4000,https://cdn.bulbagarden.net/upload/4/45/Dream_Max_Revive_Sprite.png
Moomoo Milk,Medicine,Milk with a very high nutrition content. It restores the HP of one Pokémon by 100 points.,500,https://cdn.bulbagarden.net/upload/e/e0/Dream_Moomoo_Milk_Sprite.png
Muscle Wing,Medicine,Increases Attack EVs by 1.,3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/muscle-wing.png
Old Gateau,Medicine,Old Chateau's hidden specialty. It heals all the status problems of a single Pokémon.,200,https://cdn.bulbagarden.net/upload/c/cc/Dream_Old_Gateau_Sprite.png
Paralyze Heal,Medicine,A spray-type medicine. It eliminates paralysis from a single Pokémon.,200/300,https://cdn.bulbagarden.net/upload/2/2a/Dream_Paralyze_Heal_Sprite.png
Potion,Medicine,A spray-type medicine for wounds. It restores the HP of one Pokémon by just 20 points.,300,https://cdn.bulbagarden.net/upload/d/df/Dream_Potion_Sprite.png
PP Max,Medicine,It maximally raises the top PP of a selected move that has been learned by the target Pokémon.,9800,https://cdn.bulbagarden.net/upload/5/5c/Dream_PP_Max_Sprite.png
PP Up,Medicine,It slightly raises the maximum PP of a selected move that has been learned by the target Pokémon.,9800,https://cdn.bulbagarden.net/upload/2/22/Dream_PP_Up_Sprite.png
Protein,Medicine,A nutritious drink for Pokémon. It raises the base Attack stat of a single Pokémon.,9800,https://cdn.bulbagarden.net/upload/f/fa/Dream_Protein_Sprite.png
Rare Candy,Medicine,A candy that is packed with energy. It raises the level of a single Pokémon by one.,4800,https://cdn.bulbagarden.net/upload/3/38/Rare_Candy_RG.png
Resist Wing,Medicine,Increases Defense EVs by 1.,3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/resist-wing.png
Revival Herb,Medicine,"A very bitter medicinal herb. It revives a fainted Pokémon, fully restoring its HP.",2800,https://cdn.bulbagarden.net/upload/4/4d/Dream_Revival_Herb_Sprite.png
Revive,Medicine,A medicine that revives a fainted Pokémon. It restores half the Pokémon's maximum HP.,1500,https://cdn.bulbagarden.net/upload/8/8c/Dream_Revive_Sprite.png
Sacred Ash,Medicine,"It revives all fainted Pokémon. In doing so, it also fully restores their HP.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/sacred-ash.png
Soda Pop,Medicine,A fizzy soda drink. It restores the HP of one Pokémon by 60 points.,300,https://cdn.bulbagarden.net/upload/8/8a/Dream_Soda_Pop_Sprite.png
Super Potion,Medicine,A spray-type medicine for wounds. It restores the HP of one Pokémon by 50 points.,700,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/super-potion.png
Sweet Heart,Medicine,Very sweet chocolate. It restores the HP of one Pokémon by only 20 points.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/sweet-heart.png
Swift Wing,Medicine,Increases Speed EVs by 1.,3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/swift-wing.png
Zinc,Medicine,A nutritious drink for Pokémon. It raises the base Sp. Def (Special Defense) stat of a single Pokémon.,9800,https://cdn.bulbagarden.net/upload/e/e2/Dream_Zinc_Sprite.png
Cherish Ball,Poké Balls,A quite rare Poké Ball that has been specially crafted to commemorate an occasion of some sort.,200,https://archive-media-0.nyafuu.org/vp/image/1464/64/1464643196162.png
Dive Ball,Poké Balls,A somewhat different Poké Ball that works especially well on Pokémon that live underwater.,1000,http://orig15.deviantart.net/13b5/f/2014/317/d/2/dive_ball_by_oykawoo-d86asso.png
Dream Ball,Poké Balls,A special Poké Ball that appears out of nowhere in a bag at the Entree Forest. It can catch any Pokémon.,Cannot be purchased,http://pm1.narvii.com/5772/ff8b75dce6cabcc3fe2c2601b0b6d13707600b16_hq.jpg
Dusk Ball,Poké Balls,A somewhat different Poké Ball that makes it easier to catch wild Pokémon at night or in dark places like caves.,1000,https://vignette3.wikia.nocookie.net/pokemon/images/8/88/DuskBall.png/revision/latest?cb=20140126204805
Fast Ball,Poké Balls,A Poké Ball that makes it easier to catch Pokémon which are quick to run away.,300,https://vignette.wikia.nocookie.net/pokemon/images/7/72/Fast-ball.jpg/revision/latest?cb=20110521130804
Friend Ball,Poké Balls,A Poké Ball that makes caught Pokémon more friendly.,300,https://archive-media-0.nyafuu.org/vp/image/1480/51/1480511513349.png
Great Ball,Poké Balls,"A good, high-performance Ball that provides a higher Pokémon catch rate than a standard Poké Ball.",600,"https://t04.deviantart.net/S9YgMj0NG2MaTzb-kO6DwwSNo3A=/300x200/filters:fixed_height(100,100):origin()/pre12/5337/th/pre/f/2014/103/0/8/super_ball__01__by_adfpf1-d7e9wsm.png"
Heal Ball,Poké Balls,A remedial Poké Ball that restores the caught Pokémon's HP and eliminates any status problem.,300,https://archive-media-0.nyafuu.org/vp/image/1466/39/1466398835066.png
Heavy Ball,Poké Balls,A Poké Ball for catching very heavy Pokémon.,300,https://cdn-images-1.medium.com/max/800/1*m0XovTSDH90BfLI_E1royA.png
Level Ball,Poké Balls,A Poké Ball for catching Pokémon that are a lower level than your own.,300,http://www.puclpodcast.com/wp-content/uploads/2016/03/level_ball_by_oykawoo-d86aro0.png
Love Ball,Poké Balls,Poké Ball for catching Pokémon that are the opposite gender of your Pokémon.,300,https://vignette.wikia.nocookie.net/pokemon/images/0/0d/Love_Ball.png/revision/latest?cb=20110605071610
Lure Ball,Poké Balls,A Poké Ball for catching Pokémon hooked by a Rod when fishing.,300,https://vignette.wikia.nocookie.net/pokemon/images/1/12/Lure_Ball.jpg/revision/latest?cb=20110521124226
Luxury Ball,Poké Balls,A comfortable Poké Ball that makes a caught wild Pokémon quickly grow friendly.,1000,http://19609.hosts.ma-cloud.nl/wordpress/wp-content/uploads/2015/12/Pokeball-16.png
Master Ball,Poké Balls,The best Ball with the ultimate level of performance. It will catch any wild Pokémon without fail.,Cannot be purchased,https://cdn.bulbagarden.net/upload/2/21/SugimoriMasterBall.png
Moon Ball,Poké Balls,A Poké Ball for catching Pokémon that evolve using the Moon Stone.,300,https://vignette.wikia.nocookie.net/pokemon/images/4/47/Moon_Ball.jpg/revision/latest?cb=20110521020150
Nest Ball,Poké Balls,A somewhat different Poké Ball that works especially well on weaker Pokémon in the wild.,1000,http://itserver.montytech.net/2018/le13454/Assets/NestBall.png
Net Ball,Poké Balls,A somewhat different Poké Ball that works especially well on Water- and Bug-type Pokémon.,1000,https://orig01.deviantart.net/1810/f/2014/317/c/e/net_ball_by_oykawoo-d86assn.png
Park Ball,Poké Balls,A special Poké Ball for the Pal Park.,Cannot be purchased,https://orig06.deviantart.net/c36c/f/2014/319/a/5/park_ball_gen_ii_by_oykawoo-d86k46n.png
Poke Ball,Poké Balls,A device for catching wild Pokémon. It is thrown like a ball at the target. It is designed as a capsule system.,200,https://vignette3.wikia.nocookie.net/youtubepoop/images/4/4c/Pokeball.png/revision/latest?cb=20150418234807
Premier Ball,Poké Balls,A somewhat rare Poké Ball that has been specially made to commemorate an event of some sort.,200,http://pm1.narvii.com/6228/6f5f8a462477468fec6a8611af04d672dd64f01e_hq.jpg
Quick Ball,Poké Balls,A somewhat different Poké Ball that provides a better catch rate if it is used at the start of a wild encounter.,1000,https://vignette4.wikia.nocookie.net/pokemon/images/b/be/Quick_Ball.png/revision/latest?cb=20110615192330
Repeat Ball,Poké Balls,A somewhat different Poké Ball that works especially well on Pokémon species that were previously caught.,1000,https://vignette.wikia.nocookie.net/pokemon/images/0/09/Repeat_Ball.jpg/revision/latest?cb=20110605070245
Safari Ball,Poké Balls,A special Poké Ball that is used only in the Great Marsh. It is decorated in a camouflage pattern.,Cannot be purchased,https://vignette2.wikia.nocookie.net/pokemon/images/4/46/Safari_Ball.png/revision/latest?cb=20110615101341
Sport Ball,Poké Balls,A special Poké Ball for the Bug-Catching Contest.,Cannot be purchased,https://orig00.deviantart.net/04f0/f/2014/317/e/8/sport_ball_by_oykawoo-d86asri.png
Timer Ball,Poké Balls,A somewhat different BALL that becomes progressively better the more turns there are in a battle.,1000,https://vignette4.wikia.nocookie.net/pokemon/images/4/46/Timer_Ball.png/revision/latest?cb=20151003164314
Ultra Ball,Poké Balls,An ultra-performance Ball that provides a higher Pokémon catch rate than a Great Ball.,1200,https://img08.deviantart.net/0b4f/i/2015/212/1/9/ultra_ball_by_peetzaahhh2010-d93nt52.png
Sail Fossil,General Items,A fossil from a prehistoric Pokémon that once lived on land. It looks like the impression from a skin sail.,Cannot be purchased,https://vignette.wikia.nocookie.net/nintendo/images/1/1a/Sail_Fossil.png/revision/latest?cb=20160228172328&path-prefix=en
Jaw Fossil,General Items,A fossil from a prehistoric Pokémon that once lived on the land. It looks as if it could be a piece of a large jaw.,Cannot be purchased,https://vignette.wikia.nocookie.net/nintendo/images/4/47/Jaw_Fossil.png/revision/latest?cb=20160228172305&path-prefix=en
Ice Stone,General Items,A peculiar stone that can make certain species of Pokémon evolve. It has an unmistakable snowflake pattern.,Cannot be purchased,https://cdn.bulbagarden.net/upload/b/b2/Dream_Ice_Stone_Sprite.png
